NOMBRE|MARCA|PROVINCIA|POBLACION|LAT|LONG
AVDA. DEL PUERTO,147|SHELL|VALENCIA|VALENCIA|39.46406320300465|-0.3454296099875116
CR N-332. 282|REPSOL|VALENCIA|ALFAFAR|39.410567|-0.380832
CL CRTA.VIEJA DE BURJASOT-CENTRO COMERCIAL|REPSOL|VALENCIA|PATERNA|39.531635|-0.442459
AT A-3. km 350.6|REPSOL|VALENCIA|QUART DE POBLET|39.473347|-0.432449
CL CARRETERA PICAÑA. 24|REPSOL|VALENCIA|TORRENT|39.439342|-0.456471
C/ Gremis 10. Polígono Ind. Vara de Quart|TAXCO|VALENCIA|VALENCIA|39.457982|-0.40933
Ctra N-221 P.K 7.30 (Margen izquierdo)|REPSOL|VALENCIA|ALBALAT DELS SORELLS|39.530261|-0.313114
CL VALLE DE LA BALLESTERA. 44|REPSOL|VALENCIA|VALENCIA|39.478585|-0.401131
CL CTRA. LLOSA DE RANES, S.N. 6|REPSOL|VALENCIA|XATIVA|38.994456|-0.524324
CR C-234, P.K. 9,7|REPSOL|VALENCIA|PATERNA|39.541514|-0.462824
C/ Baleares, 20|REPSOL|VALENCIA|VALENCIA|39.462754|-0.354527
Ctra A-3, km 337|REPSOL|VALENCIA|OLIVA|38.894473|-0.072981
CL VIA DEL FERROCARRIL, 8-10, POL. IND. N°3|REPSOL|VALENCIA|ALBORAYA|39.500158|-0.346135
C/ Miraculosa, 15 46009 Valencia|GALP|VALENCIA|VALENCIA|39.484785|-0.373434
Avda. del Mar 5|BP|VALENCIA|SUECA|39.209197|-0.309525
PLA DE RASCANYA, 12|INDEPENDIENTE|VALENCIA|LLIRIA|39.635394|-0.587091
C/ Maestro Rodrigo|REPSOL|VALENCIA|VALENCIA|39.487827|-0.404135
Avda De Les Corts Valencianes, 57|REPSOL|VALENCIA|VALENCIA|39.494769|-0.403239
Calle Traginers, 2|REPSOL|VALENCIA|VALENCIA|39.462883|-0.406528
Avda. de les Moreres s/n - CC Vidanova Parc|BURAN ENERGY|VALENCIA|SAGUNTO|39.671503|-0.264653
Calle Padre Claret, 97|GASOPRIX|VALENCIA|SAGUNTO|39.662459|-0.240228
CTRA. V-302 KM. 233,84|SHELL|VALENCIA|BENIPARRELL|39.38678580874792|-0.41067590859800884
CL SERRERIA ESQ. RIO JALON,19|SHELL|VALENCIA|VALENCIA|39.4637204879021|-0.3370340959136033
AVDA. DEL PUERTO,147|SHELL|VALENCIA|VALENCIA|39.46406320300465|-0.3454296099875116
